"name","count","countries","cities","roles","samples","etoStatus","category"
"Phuket International Airport (HKT)","222","Thailand","Aleenta Phuket Phang Nga + NaTai|Ao Luek District, Krabi|Ao Nam Mao, Krabi|Ao Nang, Krabi|Ao Thalane Bay, Krabi|Bang Por|Bangkok|Chalong, Mueang, Phuket|Cheow Lan Dam, Surat Thani|Choeng Thale|Chumphon town|Doi Tung|Don Sak Pier, Surat Thani|Hat Yai, Songkhla|Hua Hin, PrachuapKhiriKhan|Kalai, Phang Nga|Kamala beach, Phuket|Kao Lanta Pier Thailand|Kapong, Phang Nga|Karon Beach, Phuket|Kata Village and Beach, Phuket|Kathu, Phuket|Kha Nom, Nakhon Si Thammarat|Khao Lak, Phang Nga|Khao Phanom District, Krabi|Khao Sok National Park, Surat Thani|Khuan Tung Ku Pier, Trang|Khura Buri district, Phang Nga|Klong Jilard Pier, Krabi town|Klong Muang Beach, Krabi|Klong Muang Thailand|Klong Thom District, Krabi|Ko Kaeo, Muaeng, Phuket|Ko Pha-ngan District, Surat Thani|Koh Jum Island, Krabi|Koh Lanta Island|Koh Samui (Island)|Koh Samui - Mae Nam Port(Surat Thani )|Krabi International Airport (KBV)|Krabi town|Laem Khuat Pier, Krabi|Mai Khao, Maikhao Phuket|Mueang Phuket District|Mueang, Phang Nga|Nakhon Si Thammarat city|Noppharat Thara Beach, Krabi|Pa Khlok, Phuket|PaTong, Phuket|Padang Besar (Malaysia border), Songkhla|Pak Bara, Satun|Pak Meng Beach,Trang|Pakmeng Pier, Trang|Phuket International Airport (HKT)|Phuket Island to delete|Phuket town|Railay, Krabi|Ranong|Ratsada, Mueang, Phuket|Rawai, Mueang, Phuket|Sadao Border (to Malaysia), Songkhla|Sakhu, Phuket|Samet Nang She viewpoint, Phang Nga|Satun|Si Sunthon, Phuket|Sikao, Sikao District, Trang|Songkhla Province|Surat Thani Airport (URT)|Surat Thani Town|Surat Thani district|Thai Mueang, Phang Nga|Thap Lamu Pier, Phang Nga|Thap Put, Phang Nga|Thep Krasatti, Phuket|Trang Airport (TST), Khok Lo, Mueang Trang District|Trang Province|Trang Train Station|Tubkaek Beach, Krabi|Wichit, Mueang, Phuket|Yala city, Yala","from|to","Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai","missing","airport"
"Dubai international Airport (DXB)","190","United Arab Emirates","Abu Dhabi International Airport (AUH)|Ajman|Al Ain|Al Barsha, Dubai|Al Quoz, Dubai|Bab Al Shams Desert Resor, Dubai|Bur Dubai Area|Deira Dubai|Discovery Gardens Dubai|Downtown Dubai|Dubai Al Maktoum Airport (DWC)|Dubai Investments Park|Dubai Marina|Dubai N-E Outskirts|Dubai Parks and Resorts|Dubai international Airport (DXB)|Fujairah International Airport (FJR)|Ghantoot|Global Village, Dubai|JVC Dubai|Mina Jebel Ali, Dubai|Palm Jumeirah|Ras Al Khaimah|Sharjah|Silicon Oasis / International City Dubai","from|to","Dubai international Airport (DXB) -> Abu Dhabi International Airport (AUH) || Dubai international Airport (DXB) -> Abu Dhabi International Airport (AUH) || Dubai international Airport (DXB) -> Abu Dhabi International Airport (AUH)","missing","airport"
"Antalya Airport (AYT)","182","Turkey","Adrasan|Aksu (Antalya)|Alanya|Alara|Antalya city centre district|Antalya cruise port Akdeniz|Avsallar|Beldibi town, Kemer|Belek|Bogazkent / Boğazkent|Camyuva / Çamyuva|Cirali / Çıralı (Kemer, Antlaya)|Colakli / Çolaklı|Denizyaka|Evrenseki|Fethiye|Goynuk / Göynük|Gundogdu / Gündoğdu|Incekum|Kadriye|Kalkan|Kargıcak|Kas / Kaş|Kemer, Antalia|Kestel|Kiris / Kiriş|Kizilagac / Kızılağaç|Kizilot|Konakli|Konyaalti district, Antalya|Kumkoy / Kumköy|Kundu beach|Lara beach|Lyka World Links Golf, Antalya|Mahmutlar|Manavgat city|Oba|Okurcalar|Payallar|Side district|Sorgun|Tekirova|Titreyengol lake|Tosmur|Turkler / Türkler","from","Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan || Antalya Airport (AYT) -> Adrasan","missing","airport"
"Bangkok Suvarnabhumi Airport (BKK)","121","Thailand","Ayutthaya Provice|Bang Saen, Chon Buri|Bangkok|Bangkok Don Muang Airport (DMK)|Bangkok Outskirts|Bangkok SUVarnabhumi Airport (BKK)|Bangrak Beach|Cha Am Beach, Phetchaburi|Don Muang district|Erawan National Park (Kanchanaburi)|Hua Hin, PrachuapKhiriKhan|Kanchanaburi|Khao Lak, Phang Nga|Khao Yai National Park|Khaosan, Bangkok|Khlong Thoei, bangkok|Koh Chang|Korat City (Nakhon Ratchasima)|Laem Chabang Port, Sukhumvit Road, Thung Sukhla|Pak Chong, NakhonRatchasima|Pattaya|Pattaya Jomtein beach, Pattaya|Pattaya–Rayong U-Tapao Airport (UTP)|Phetchaburi|Phitsanulok|Phra Nakhon, Bangkok|PranBuri, PrachuapKhiriKhan|Pratunam, Bangkok|Ratchaburi|Rayong City|Saiyoke|Sangklaburi District Provincial|Sathorn district, Bangkok|Sattahip District|Silom, Bangkok|Sukhumvit Road, Bangkok|Trat province","from|to","Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice || Bangkok Suvarnabhumi Airport (BKK) -> Ayutthaya Provice","missing","airport"
"Seoul Gimpo Airport (GMP)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan || Seoul Gimpo Airport (GMP) -> Ansan","missing","airport"
"Seoul Incheon Airport (ICN)","104","South Korea","Ansan|Dongducheon|Gimpo|Goyang|Gunpo|Guri|Gwacheon|Gwangmyeong|Hanam|Incheon|Namyangju|Osan|Paju|Pyungtaek|Seoul Gimpo Airport (GMP)|Seoul Incheon Airport (ICN)|Seoul city|Siheung|Suwon|Uijeongbu|Yangju","from|to","Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan || Seoul Incheon Airport (ICN) -> Ansan","missing","airport"
"Marrakesh Menara Airport (RAK)","98","Morocco","Annakil|Asni|El Jadida|Gueliz|Hivernage|Marrakesh city|Marrakesh city centre (riads)|Marrakesh outskirts|Menara + Hay Charaf + El Azzouzia|Ouahat Sidi Brahim|Palmeraie|Tameslouht|Tasoultante|cercle d' Loudaya","from","Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil || Marrakesh Menara Airport (RAK) -> Annakil","missing","airport"
"Samui International Airport (USM)","78","Thailand","Anantara Bophut Koh Samui Resort|Angthong district|Bang Por|Bangrak Beach|Bangrak Pier|Big Buddha|Bophut Beach|Chaweng, Samui, Thailand|Choengmom beach and gardens|Conrad Hotel Samui|Don Sak Pier, Surat Thani|Element Boutique|Hua Thanon, Samui|Koh Matsum (Including boat transfer) Thailand|Koh Phangan (Closest Pier to Embark) Thailand|Koh Samui (Island)|Koh Samui - Mae Nam Port(Surat Thani )|Laem Set, Koh Samui, Surat Thani|Lamai Thailand|Lipa-Noi|Mae Nam Ko Samui Thailand|Nathon-Lipa Thailand|Samui International Airport (USM)|Samui Pier Thailand|Taling Ngam Thailand","from|to","Samui International Airport (USM) -> Anantara Bophut Koh Samui Resort || Samui International Airport (USM) -> Angthong district || Samui International Airport (USM) -> Angthong district","missing","airport"
"Larnaca Airport (LCA)","69","Cyprus","Agios Mamas|Agraka|Agros|Akaki|Akrotiri|Alassa|Anogyra|Arakapas|Armenochori|Asomatos|Avakas Bay|Avdimou|Avgorou|Ayia Napa|Chloraka|City of Dream|Dali|Derynia|Dierona|Episkopi|Erimi|Fasoula|Finikaria|Gerasa|Ipsonas|Kakopetria|Kalo Chorio Limassol|Kalopanagiotis|Kelaki|Kykkos|Kyperounta|Larnaca|Leykara|Limassol|Liopetri|Managri|Mazotos|Nicosia|Odou|Olympus|Omodos|Omonia|Orchid|Palodia|Paphos|Paralimni|Paramali|Paramytha|Pegeia|Pissouri|Platres|Polemidia|Polis|Pomos|Protaras|Sotira|Tala|Tersefanou|Trachoni|Trimiklini|Troodos|Tsada|Tseri|Vavatsinia|Vyzakia|Xylofagou|Zakaki|Zigi|Zoopigi","from","Larnaca Airport (LCA) -> Agios Mamas || Larnaca Airport (LCA) -> Agraka || Larnaca Airport (LCA) -> Agros","missing","airport"
"Port of Los Angeles","64","United States of America","Beverly Hills|Buena Park|Hollywood|Inglewood|Long Beach, California|Los Angeles|Los Angeles Downtown|Santa Monica|Torrance|Universal City","from|to","Port of Los Angeles -> Beverly Hills || Port of Los Angeles -> Beverly Hills || Port of Los Angeles -> Beverly Hills","missing","port"
