"name","count","countries","cities","roles","samples","category","reason"
"Bab Al Shams Desert Resor, Dubai","8","United Arab Emirates","Bab Al Shams Desert Resor, Dubai","to","Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai || Dubai international Airport (DXB) -> Bab Al Shams Desert Resor, Dubai","hotel_resort","hotel_resort_requires_manual_review"
"Phuket Island to delete","8","Thailand","Phuket Island to delete","to","Krabi International Airport (KBV) -> Phuket Island to delete || Krabi International Airport (KBV) -> Phuket Island to delete || Phuket International Airport (HKT) -> Phuket Island to delete","ambiguous","ambiguous_service_or_disposal_text"
"Conrad Hotel Samui","7","Thailand","Conrad Hotel Samui","to","Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Koh Samui - Mae Nam Port (Surat Thani ) -> Conrad Hotel Samui || Samui International Airport (USM) -> Conrad Hotel Samui","hotel_resort","hotel_resort_requires_manual_review"
"Aleenta Phuket Phang Nga + NaTai","4","Thailand","Aleenta Phuket Phang Nga + NaTai","to","Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai || Phuket International Airport (HKT) -> Aleenta Phuket Phang Nga + NaTai","hotel_resort","hotel_resort_requires_manual_review"
"Disposal up to 8 hours / 100 km within Istanbul","2","Turkey","Istanbul","to","Istanbul -> Disposal up to 8 hours / 100 km within Istanbul || Istanbul -> Disposal up to 8 hours / 100 km within Istanbul","ambiguous","ambiguous_service_or_disposal_text"
"Emerald Lake Hotel Thailand","2","Thailand","Emerald Lake Hotel Thailand","to","Krabi International Airport (KBV) -> Emerald Lake Hotel Thailand || Krabi International Airport (KBV) -> Emerald Lake Hotel Thailand","hotel_resort","hotel_resort_requires_manual_review"
"Full day disposal up to 12 hours / 120 km classic Istanbul tour","2","Turkey","Istanbul","to","Istanbul -> Full day disposal up to 12 hours / 120 km classic Istanbul tour || Istanbul -> Full day disposal up to 12 hours / 120 km classic Istanbul tour","ambiguous","ambiguous_service_or_disposal_text"
"Grand Rotana Resort","2","Egypt","Grand Rotana Resort","to","Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort || Sharm el-Sheikh International Airport (SSH) -> Grand Rotana Resort","hotel_resort","hotel_resort_requires_manual_review"
"Hot Waterfall Hotel/ Hot Stream Krabi Thailand","2","Thailand","Hot Waterfall Hotel/ Hot Stream Krabi Thailand","to","Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand || Krabi International Airport (KBV) -> Hot Waterfall Hotel/ Hot Stream Krabi Thailand","hotel_resort","hotel_resort_requires_manual_review"
"Anantara Bophut Koh Samui Resort","1","Thailand","Anantara Bophut Koh Samui Resort","to","Samui International Airport (USM) -> Anantara Bophut Koh Samui Resort","hotel_resort","hotel_resort_requires_manual_review"
"Hafjell (ski resort)","1","Norway","Hafjell (ski resort)","to","Oslo Gardermoen Airport (OSL) -> Hafjell (ski resort)","hotel_resort","hotel_resort_requires_manual_review"
